"","key","latd","lond"
"1","alvkhk5","44.32","-76.88"
"2","asuu9q8","44.06","-77.26"
"3","axaf2dy","45.12","-75.26"
"4","b0vsc9m","44.32","-76.88"
"5","bfl7j1r","44.32","-76.88"
"6","bgdyn16","44.32","-76.88"
"7","bk5hy3b","44.32","-76.88"
"8","c1bcex3","44.3","-76.64"
"9","c24999o","44.3","-76.64"
"10","ci5iwcm","44.3","-76.94"
"11","cjnul74","48.36","-89.32"
"12","cqcmkqz","44.3","-76.94"
"13","cz8f5yh","44.06","-77.26"
"14","ddc8zon","44.06","-77.26"
"15","dl679lj","44.06","-77.26"
"16","dmfj36k","46.66","-80.92"
"17","dupvjvz","44.3","-76.94"
"18","dzgnt21","44.32","-76.88"
"19","ekw955n","45.12","-75.26"
"20","f3tzkbv","44.3","-76.94"
"21","f6lkykl","44.3","-76.64"
"22","f6n30ey","44.06","-77.26"
"23","ficka01","44.3","-76.94"
"24","fqcc3qh","44.06","-77.26"
"25","fs3jiwy","44.3","-76.64"
"26","g6k1q4e","44.06","-77.26"
"27","gdjickd","46.66","-80.92"
"28","gllp52g","45.12","-75.26"
"29","gmffkls","46.66","-80.92"
"30","gzkyn5m","44.3","-76.64"
"31","hmbv1f3","48.36","-89.26"
"32","hn6ym44","44.32","-76.88"
"33","hso9mfb","45.12","-75.26"
"34","iynimq9","44.06","-77.26"
"35","j6315y0","48.36","-89.32"
"36","ja4v40k","44.3","-76.94"
"37","jaxyix2","45.12","-75.26"
"38","jotgdjt","44.3","-76.64"
"39","jqyb4ib","44.06","-77.26"
"40","jsrn704","45.12","-75.26"
"41","k2rrs27","46.66","-80.92"
"42","k95j4fx","44.3","-76.64"
"43","kk6jiau","48.36","-89.26"
"44","kwdrzyf","48.36","-89.26"
"45","lmupga2","44.06","-77.26"
"46","lt16300","46.66","-80.92"
"47","mcia17v","44.3","-76.64"
"48","mflz6ku","46.66","-80.92"
"49","mg5e6te","48.36","-89.26"
"50","mtwaj5q","45.12","-75.26"
"51","mul4ck1","46.66","-80.92"
"52","n2naqbz","44.32","-76.88"
"53","nnxo7jg","44.3","-76.94"
"54","o8260xl","48.36","-89.26"
"55","o82f0bl","44.32","-76.88"
"56","p6xoew1","44.3","-76.94"
"57","pgm7zaz","44.3","-76.94"
"58","pjwgpwf","44.3","-76.94"
"59","q7iaeku","44.32","-76.88"
"60","q8sesve","48.36","-89.32"
"61","qhefxhe","45.12","-75.26"
"62","qio3sqf","44.3","-76.94"
"63","r2xcdv8","46.66","-80.92"
"64","r87y04j","44.06","-77.26"
"65","ryuyibx","45.12","-75.26"
"66","s5nl7lv","46.66","-80.92"
"67","sqnkjk0","44.3","-76.94"
"68","sv8ze10","44.3","-76.94"
"69","t1vxolv","44.3","-76.64"
"70","t8m67hj","44.32","-76.88"
"71","tip7gtm","45.12","-75.26"
"72","tzpt5qg","48.36","-89.32"
"73","u0t2b94","44.3","-76.94"
"74","u2p0iz1","44.32","-76.88"
"75","ufz8iee","44.06","-77.26"
"76","urr1hj9","46.66","-80.92"
"77","utig8dr","44.32","-76.88"
"78","v081zdt","44.32","-76.88"
"79","v2lgvco","45.12","-75.26"
"80","va9n9hu","44.3","-76.94"
"81","vm3jfpe","44.32","-76.88"
"82","vsgb28u","44.32","-76.88"
"83","vxjdmg7","44.3","-76.94"
"84","wbeinm5","44.3","-76.64"
"85","wr1yz6s","48.36","-89.26"
"86","wtabkec","44.3","-76.64"
"87","xisdbfv","46.66","-80.92"
"88","xo4jqyl","44.32","-76.88"
"89","xofc7ta","45.12","-75.26"
"90","ycs3mou","48.36","-89.32"
"91","ymnxipd","48.36","-89.26"
"92","ynqg1zn","46.66","-80.92"
"93","z3zl4ft","46.66","-80.92"
"94","z464vgc","44.3","-76.94"
"95","zjow5f0","45.12","-75.26"
"96","zlu7o1d","44.06","-77.26"
"97","zukpbbf","44.3","-76.64"
"98","zv904kv","44.3","-76.64"
